user_medico_1,pass_user_medico_1,medico,Jesusa Delia Barrios,Odontopediatría
user_medico_2,pass_user_medico_2,medico,Adelina Losa Fiol,Odontopediatría
user_medico_3,pass_user_medico_3,medico,Calixta Bastida Palacio,Endodoncia
user_medico_4,pass_user_medico_4,medico,Inés Sánchez Torrents,Endodoncia
user_medico_5,pass_user_medico_5,medico,Roberto Abascal Ripoll,Ortodoncia
user_medico_6,pass_user_medico_6,medico,Daniel Molins Polo,Ortodoncia
user_medico_7,pass_user_medico_7,medico,Cirino Leiva Albero,Periodoncia
user_medico_8,pass_user_medico_8,medico,Susana Gloria Mariscal Cid,Periodoncia
user_medico_9,pass_user_medico_9,medico,Osvaldo Rodolfo Catalán Lago,Cirugía
user_medico_10,pass_user_medico_10,medico,Marcial Estévez Domingo,Cirugía
